DEPARTAMENTO,MUNICIPIO,COD,Terremotos,Inundaciones,Ciclon y Marejadas,Deslizamientos,Sequia,Natural,Violencia,Humano,PELIGRO Y E0.00POSICIoN,Desarrollo y Pobreza,Desigualdad,Dependencia,Vulnerabilidad Socioeconomica,Poblacion Desarraiga,Otros Grupos Vulnerables,Grupos Vulnerables,VULNERABILIDAD,Capacidad de Respuesta,Gobernanza,Institutional,Comunicacion,Infraestructura Fisica,Acceso a Educacion,Infraestructura,FALTA DE CAPACIDAD DE RESPUESTA,INFORM RISK,Rango
Valle,Langue,1707,7.7,9.3,0,3.5,9.7,7.4,0,0,4.7,8.1,8.8,7,8,5.3,5.3,5.3,6.9,6.7,6.4,6.6,8.8,9,4.7,7.5,7.1,6.1,92
Yoro,Yorito,1811,0,0,0,9.9,6.4,5.1,5.1,5.1,5.1,8.7,8.3,7.6,8.2,2.3,6.3,4.6,6.8,3.3,7.2,5.6,8.8,7.4,5.8,7.3,6.5,6.1,92
Atlantida,Jutiapa,104,0,5.2,0,5,0,2.4,8.9,8.9,6.7,6.6,7.3,7.2,7,7.4,3.9,5.9,6.5,3.3,4.2,3.8,7.3,4.8,5.4,5.8,4.9,6,100
Atlantida,Tela,107,9.1,6.1,0,4.8,0,5.1,9.7,9.7,8.2,6,6.4,6.7,6.4,9.1,4.2,7.4,6.9,3.3,1.9,2.6,4.9,5.4,4.7,5,3.9,6,100
Comayagua,La Trinidad,308,6.2,0,0,0,0,1.7,6.4,6.4,4.5,8.1,7.4,8.2,7.9,2.7,5.2,4.1,6.4,8.3,7.6,8,6.8,6.9,6.6,6.8,7.4,6,100
Comayagua,San Jeronimo,313,4.3,5.3,0,6.6,6.2,4.8,4.9,4.9,4.9,7.6,7.3,6.7,7.2,6.9,5.6,6.3,6.8,6.7,5.1,6,7.3,8.6,5.3,7.1,6.6,6,100
Comayagua,San Sebastian,317,6.1,0,0,0,5,2.7,6.5,6.5,4.9,7.6,7.1,6.4,7,3.2,4.3,3.8,5.6,10,4.8,8.5,5.9,8.6,5.4,6.6,7.7,6,100
Copan,La Union,412,6.6,0,0,7.2,6,4.7,7.5,7.5,6.3,7.7,8.3,6.4,7.5,3.3,5.6,4.6,6.3,5,2.9,4,6.1,7,6.6,6.6,5.4,6,100
Copan,San Jeronimo,416,6.4,0,0,9.4,0,4.7,4,4,4.4,7.6,7,6.6,7.1,2.7,7.4,5.5,6.4,10,6.9,8.9,6,6.4,6.1,6.2,7.8,6,100
Copan,San Pedro,420,6.3,0,0,6.8,5.3,4.3,6.8,6.8,5.7,6.2,6.6,5.7,6.2,2.3,6.2,4.5,5.4,10,4.3,8.4,5,5.4,4.8,5.1,7.1,6,100
Copan,Veracruz,423,5.5,3,0,4.1,0,2.8,6.2,6.2,4.7,8.3,7.8,6.7,7.6,1.1,6,4,6.1,10,7.4,9.1,5.9,4.6,5.3,5.3,7.7,6,100
Choluteca,Choluteca,601,9.5,9.8,4.9,6.5,0,7.4,9.3,9.3,8.5,6.2,7.2,5.9,6.4,8.5,4.4,6.9,6.7,3.3,1.9,2.6,4.7,7.2,2.1,4.7,3.7,6,100
Choluteca,Marcovia,607,8.4,10,7.6,0,6.8,7.6,4.9,4.9,6.4,7.7,8.4,7.1,7.7,8.3,3.6,6.5,7.1,3.3,3.3,3.3,6.2,6.9,4.8,6,4.8,6,100
Intibuca,Camasca,1002,6.7,0,0,9.7,9.6,7,0,0,4.4,6.7,9,7.5,7.7,3.8,6.9,5.6,6.8,10,6.1,8.8,7.3,3,3.8,4.7,7.3,6,100
Intibuca,Intibuca,1006,7.7,0,0,8.2,0,4.4,4.2,4.2,4.3,6.9,5.7,7,6.5,1.5,8.7,6.3,6.4,10,3.7,8.2,7.9,8.6,4.8,7.1,7.7,6,100
Lempira,La Union,1311,7.2,0,0,8,3.9,4.7,3.2,3.2,4,9.4,8,6.8,8.1,2.1,6.8,4.9,6.8,10,7.3,9.1,7.4,4.6,6.8,6.3,8,6,100
Lempira,San Manuel Colohete,1319,7,0,0,9.7,6.4,6,1.8,1.8,4.2,8.9,7.1,8,8,0.5,7.3,4.8,6.7,6.7,8.8,7.9,9.5,7,6.6,7.7,7.8,6,100
Ocotepeque,San Fernando,1410,6.7,0,0,4.2,5.4,3.8,4.5,4.5,4.2,7.6,8.4,5.7,7.2,5.3,5.8,5.6,6.5,10,6.9,8.9,6.2,6.2,7.1,6.5,7.9,6,100
Santa Barbara,San Francisco de Ojuera,1619,6.7,0,0,9.4,0,5.6,0,0,3.3,7.3,7,7.1,7.1,8.8,7.5,8.2,7.7,10,8.4,9.4,8.3,7.5,5,6.9,8.4,6,100
Yoro,Morazan,1806,6.6,0,0,7.5,0,3.7,7.8,7.8,6.2,7.6,8,7.3,7.6,10,6.4,8.8,8.3,0.7,3.6,2.3,6.1,6.8,4.6,5.8,4.3,6,100
Colon,Santa Fe,206,0,9,0,0,4.9,4,3.7,3.7,3.9,6.6,6.7,8.5,7.3,6.9,6.7,6.8,7.1,10,5.8,8.7,6.7,4.6,5.2,5.5,7.4,5.9,118
Comayagua,Villa de San Antonio,319,7.6,0,0,3.7,8.4,5,7.3,7.3,6.3,6.1,6.8,6.3,6.4,2.1,2.6,2.4,4.7,10,3.7,8.2,5.5,5.7,4.7,5.3,7,5.9,118
El Paraiso,Moroceli,708,0,0,0,7.7,5.7,4.2,7.7,7.7,6.3,7.1,8.5,6.3,7.3,0.4,3.9,2.3,5.3,6.7,4.8,5.8,7.9,8.1,3.2,6.4,6.1,5.9,118
Francisco Morazan,La Libertad,807,5.9,0,0,6.1,9.7,5.7,3.2,3.2,4.6,7.5,7.7,5.9,7,3.1,4.8,4,5.7,6.7,8.8,7.9,8.3,9.2,6.1,7.9,7.9,5.9,118
Francisco Morazan,Marale,811,0,4.1,0,9.6,5.9,5.3,1,1,3.4,9.4,8.3,8.2,8.6,4.5,7.4,6.2,7.6,5,7.4,6.3,9.5,9.5,8.4,9.1,8,5.9,118
Francisco Morazan,Talanga,824,0,3.6,0,6.4,6.7,3.9,8.5,8.5,6.8,7.5,7.4,6.4,7.1,6.1,3.7,5,6.2,5,3.1,4.1,4.8,8.4,3,5.4,4.8,5.9,118
Intibuca,Concepcion,1004,7,0,0,9.4,9.6,6.9,1.1,1.1,4.6,7.6,8.5,7.6,7.9,6.1,6.3,6.2,7.1,6.7,6.5,6.6,6.9,6.2,5.4,6.2,6.4,5.9,118
La Paz,La Paz,1201,7.6,4.5,0,6.9,0,4.6,9.1,9.1,7.5,6.4,6.7,5.8,6.3,3,5.7,4.5,5.5,6.7,2.7,5,4.6,6.3,3.8,4.9,5,5.9,118
Santa Barbara,Ilama,1612,6.9,0,0,6.6,0,4.2,5,5,4.6,6.9,7.5,6.2,6.9,0.5,6.3,4,5.6,10,6.2,8.8,8,4.8,6.4,6.4,7.8,5.9,118
Valle,Amapala,1703,7.2,6.3,7.6,3.6,5.8,6.3,3.3,3.3,5,7.3,8.1,6.6,7.3,4.1,4.5,4.3,6,10,4.4,8.4,5.5,5,4.5,5,7,5.9,118
Colon,Iriona,203,0,3.7,8.8,5.7,0,4.6,6.6,6.6,5.7,6.7,6.5,7.2,6.8,3.1,3.8,3.5,5.4,5,5.4,5.2,7.9,8.7,5.5,7.4,6.4,5.8,128
Comayagua,Comayagua,301,9.4,5,0,8.4,0,6,10,10,8.7,6.1,6.2,6.2,6.2,8.3,5.4,7.1,6.7,0.7,1.8,1.3,3.7,7.1,4.3,5,3.4,5.8,128
Comayagua,Humuya,305,5.3,0,0,0,8.1,3.6,6.1,6.1,5,6.3,7,6.1,6.5,0.8,4.1,2.6,4.8,10,8.6,9.4,6.1,7.7,5.4,6.4,8.3,5.8,128
Copan,Santa Rosa de Copan,401,7,2.8,0,6,7,5.1,7.8,7.8,6.6,5.2,5,4.8,5,9.8,5.9,8.5,7.1,6.7,1.2,4.5,3.6,5.1,3,3.9,4.2,5.8,128
Choluteca,Concepcion de Maria,603,7.9,7.9,0,6.2,6.9,6.4,0.9,0.9,4.2,7.8,9.1,7.3,8.1,2.4,6,4.4,6.6,6.7,6.9,6.8,9.2,7.4,5.9,7.5,7.2,5.8,128
Choluteca,El Corpus,605,7.9,3.4,0,6.4,6.8,5.5,3.3,3.3,4.5,7.6,9.2,6.9,7.9,1.4,5.9,4,6.3,6.7,5.7,6.2,9,7.5,5.5,7.3,6.8,5.8,128
Francisco Morazan,San Juan de Flores,820,0,4.4,0,8.6,5.8,4.7,5.6,5.6,5.2,7.4,8.1,7,7.5,0.3,3.6,2.1,5.4,8.3,4,6.6,7.9,7.1,6.3,7.1,6.9,5.8,128
Gracias a Dios,Puerto Lempira,901,0,5.8,9.7,0,0,4.8,3.7,3.7,4.3,9.1,6.3,6.7,7.4,0.9,3.2,2.1,5.3,10,6.3,8.8,9.5,9.7,4.7,8,8.4,5.8,128
Intibuca,San Francisco de Opalaca,1017,6.2,0,0,9.7,0,4.9,1,1,3.2,9.3,6.4,7.7,7.8,0.2,8,5.3,6.7,8.3,9.9,9.3,10,9.5,6.4,8.6,9,5.8,128
La Paz,Guajiquiro,1206,7,5.1,0,9.8,9.3,7.5,1.4,1.4,5.2,8,4.5,6,6.2,0,5.9,3.5,5,5,8.5,7.1,8.6,10,4.2,7.6,7.4,5.8,128
La Paz,Santa Maria,1217,7.1,0,0,9.6,5.8,5.9,1.7,1.7,4.1,7.7,8.1,7.4,7.7,0.7,6,3.8,6.1,10,5.7,8.7,8.8,6.8,5.1,6.9,7.9,5.8,128
La Paz,Yarula,1219,6.8,0,0,8.6,8.5,6,1,1,3.9,8.9,7.4,8.1,8.1,0.5,6.9,4.4,6.6,6.7,8.2,7.5,9.7,8.8,3.9,7.5,7.5,5.8,128
Ocotepeque,Mercedes,1409,6.7,0,0,9.5,6.3,6.7,0,0,4.1,7.3,7.6,5.9,6.9,3.2,7.1,5.5,6.3,10,6.5,8.8,5.6,5.7,5.7,5.7,7.6,5.8,128
Olancho,Esquipulas del Norte,1507,0,9.4,0,9.7,0,6.1,0,0,3.6,8.8,7,7.8,7.9,1.6,6.3,4.3,6.4,8.3,8.6,8.5,8.5,8.4,8.2,8.4,8.5,5.8,128
Santa Barbara,Santa Barbara,1601,8.3,4.1,0,7.1,0,4.8,7.9,7.9,6.6,5.7,6.4,5.7,5.9,8.8,6.3,7.8,7,6.7,1.8,4.7,4.5,3.8,2.8,3.7,4.2,5.8,128
Santa Barbara,San Luis,1620,7.9,0,0,9.3,0,5.9,4.4,4.4,5.2,8,7.6,6.7,7.4,3.1,7,5.4,6.5,3.3,4.9,4.1,8.8,6.4,6.3,7.2,5.9,5.8,128
Santa Barbara,San Marcos,1621,7.4,2.9,0,6.1,0,3.9,7.1,7.1,5.7,7,7.4,6.7,7,3,7,5.3,6.2,6.7,4.2,5.6,6.1,5.3,5,5.5,5.6,5.8,128
Colon,Saba,205,0,3.7,0,6,0,2.3,7.7,7.7,5.6,6,7.1,6.6,6.6,10,3,8.1,7.4,6.7,2.6,5,3.8,4.9,2.8,3.8,4.4,5.7,145
La Paz,Chinacla,1205,6.8,0,0,9.2,5.8,5.5,2.3,2.3,4.1,8.1,7,7.5,7.5,0.8,5.8,3.7,5.9,8.3,7.1,7.8,8.6,8.3,5.4,7.4,7.6,5.7,145
La Paz,Lauterique,1207,5.9,0,0,9.6,9.4,6.7,0,0,4.1,8,7.4,6.3,7.2,2.9,7.4,5.6,6.5,3.3,8.8,6.9,8.3,6.8,6.5,7.2,7.1,5.7,145
Lempira,Cololaca,1304,6.9,2.7,0,9.5,6,6.1,0,0,3.6,8.3,7,6.4,7.2,4.1,5.8,5,6.2,10,7.6,9.1,7.6,6.9,7.7,7.4,8.4,5.7,145
Lempira,Lepaera,1313,8.2,4.1,0,6.6,0,4.6,3.9,3.9,4.3,8.3,8.2,7.4,8,6.8,6.7,6.8,7.4,3.3,4.6,4,8.7,7.4,5.7,7.3,5.9,5.7,145
Santa Barbara,Atima,1603,7.5,0,0,7.2,0,3.9,5.5,5.5,4.8,8.1,7.8,6.6,7.5,4,6.4,5.3,6.5,3.3,6.8,5.3,7.6,7.2,5.1,6.6,6,5.7,145
Santa Barbara,Ceguaca,1605,6.4,0,0,4.1,0,2.6,6.3,6.3,4.7,6.7,5.8,5.5,6,0.9,5.9,3.8,5,10,7.3,9.1,5.9,5.5,6,5.8,7.8,5.7,145
Santa Barbara,Petoa,1616,6.2,0,0,9.3,0,5.4,7.4,7.4,6.5,7,8.1,6.7,7.3,0.9,6.5,4.2,6,3.3,5.4,4.4,5.5,4.5,4.9,5,4.7,5.7,145
Santa Barbara,San Pedro Zacapa,1623,6.6,0,0,6,0,3.2,5.6,5.6,4.5,6.5,8.2,6.8,7.2,1.6,5.2,3.6,5.7,10,5.3,8.6,6.1,4.8,2.9,4.6,7.1,5.7,145
Valle,Caridad,1705,6.2,0,0,6.7,9.5,5.8,0,0,3.4,7.5,8.4,6.6,7.5,6.8,4,5.6,6.7,10,7.4,9.1,7.6,8.1,5.1,6.9,8.2,5.7,145
Yoro,Arenal,1802,0,0,0,4.1,0,1,6.4,6.4,4.2,6.8,7.7,7.5,7.3,1.6,5.9,4.1,5.9,10,5.8,8.7,5.9,6.1,3.5,5.2,7.3,5.7,145
Yoro,Santa Rita,1808,7.7,4.7,0,5,0,4.1,5.1,5.1,4.6,6.1,6.6,6.5,6.4,10,4.4,8.4,7.5,8.3,2.8,6.3,4.6,5.4,3,4.3,5.4,5.7,145
Atlantida,Arizona,108,7.4,5.6,0,4.9,0,4.2,8.9,8.9,7.2,6.1,7.2,6.6,6.6,4,4.1,4.1,5.5,5,3.5,4.3,5.1,4.5,4,4.5,4.4,5.6,157
Comayagua,Siguatepeque,318,9.1,2.8,0,6,3.9,5.3,7.8,7.8,6.7,5.8,6.2,6.2,6.1,8.5,3.8,6.7,6.4,5,1.4,3.4,4,6.5,4,4.8,4.1,5.6,157
El Paraiso,San Lucas,712,0,0,0,6.2,9.6,4.8,1.1,1.1,3.2,8.5,9.2,6.3,8,0.7,7.4,4.9,6.7,8.3,8.4,8.4,9.3,8.3,7.6,8.4,8.4,5.6,157
Intibuca,Dolores,1005,6.2,0,0,7.9,0,3.7,4.1,4.1,3.9,8.8,6.9,7.5,7.7,0.4,5.8,3.6,6,6.7,8.1,7.5,6.5,9.3,6.3,7.4,7.5,5.6,157
Intibuca,Yamaranguila,1016,7.7,3.8,0,8,6.5,5.9,1.7,1.7,4.1,8.1,7.2,7.3,7.5,0.8,6.5,4.2,6.1,6.7,6,6.4,9.2,8.1,5,7.4,6.9,5.6,157
La Paz,San Antonio del Norte,1211,5.7,0,0,9.2,9.3,6.4,0,0,3.9,7.1,6.5,6.7,6.8,5.8,6.1,6,6.4,8.3,7.3,7.8,6.1,7.5,5.4,6.3,7.1,5.6,157
Lempira,Belen,1302,6.6,9.3,0,5.3,0,5.4,1.2,1.2,3.6,8.4,6.7,8.6,7.9,1.6,5.8,4,6.3,8.3,7.1,7.8,8.9,8.3,6,7.7,7.8,5.6,157
Ocotepeque,Lucerna,1408,6.6,0,0,9.4,5.1,5.5,0.2,0.2,3.3,7.7,8.1,6.4,7.4,2.9,6.8,5.2,6.4,10,7,9,7.3,6.2,8.1,7.2,8.2,5.6,157
Ocotepeque,San Jorge,1412,6.4,0,0,9.4,5.3,5.5,0,0,3.2,8.4,8.2,5.7,7.4,1.9,6.4,4.5,6.2,10,9.2,9.7,6.9,6.6,7.5,7,8.7,5.6,157
Olancho,Santa Maria del Real,1520,0,3,0,5.3,0,1.9,7,7,5,6.9,7.6,6.7,7.1,4.2,3.1,3.7,5.7,8.3,4.3,6.7,4.5,6.8,5.4,5.6,6.2,5.6,157
Santa Barbara,Macuelizo,1613,6.9,0,0,7,0,3.6,8.8,8.8,6.9,7.1,7.8,6.7,7.2,0.7,6.9,4.5,6,3.3,4.2,3.8,5.2,4.2,4.7,4.7,4.3,5.6,157
Cortes,Puerto Cortes,506,9.3,4.6,0,0,0,4.2,10,10,8.3,5.2,5.5,6.1,5.6,8.8,3.3,6.9,6.3,3.3,2.3,2.8,3.4,3.1,3.8,3.4,3.1,5.5,168
Choluteca,San Antonio de Flores,612,6.5,8.5,0,3.9,6.6,5.8,0,0,3.4,7.7,8.8,6.9,7.8,3.1,4.3,3.7,6.2,10,7.1,9,7,6.7,4.3,6,7.8,5.5,168
El Paraiso,Alauca,702,0,4.8,0,6,9.7,5.5,2.4,2.4,4.1,7.4,8.3,6.4,7.4,0.3,4.7,2.8,5.6,8.3,6.9,7.7,8.7,7.5,4.1,6.8,7.3,5.5,168
El Paraiso,San Antonio de Flores,711,0,2.8,0,4.9,9.5,4.8,1.7,1.7,3.4,7,8.4,6.3,7.2,0.5,6.5,4.1,5.9,10,7.6,9.1,8.8,8.1,5.5,7.5,8.4,5.5,168
Francisco Morazan,San Miguelito,821,5.5,0,0,5.6,9.5,5.4,0,0,3.1,7.9,7.4,7.7,7.7,2.7,5.6,4.3,6.3,10,8.9,9.5,7.5,8.8,5.5,7.3,8.6,5.5,168
Olancho,Guata,1510,0,6.9,0,8.6,0,4.3,0.8,0.8,2.7,9.6,7.6,8,8.4,0.7,7.4,4.9,7,8.3,7.9,8.1,10,9.9,8.9,9.6,9,5.5,168
Santa Barbara,Azacualpa,1604,7.7,0,0,6.2,0,4.4,4.3,4.3,4.4,7.3,7.8,6.5,7.2,7.2,4.7,6.1,6.7,6.7,3.7,5.4,6.2,6.1,4.8,5.7,5.6,5.5,168
Valle,Nacaome,1701,8.6,5.4,7.6,4.7,6.8,6.9,1.3,1.3,4.7,7.6,8,6.8,7.5,9.1,3.5,7.2,7.4,3.3,3.7,3.5,6.5,5.9,4.9,5.8,4.8,5.5,168
Yoro,El Negrito,1803,7.4,0,0,9,0,4.7,5.2,5.2,5,6.9,7.6,7,7.2,8,4.6,6.6,6.9,3.3,3.5,3.4,6.4,6.5,5.1,6,4.8,5.5,168
Atlantida,La Ceiba,101,0,8.3,0,5.5,0,3.7,10,10,8.2,4.9,5.4,6.1,5.5,9,3.2,7,6.3,3.3,0.3,1.9,2.2,5.9,3.6,3.9,3,5.4,177
Comayagua,Ajuterique,302,7.2,3.3,0,4.5,0,3.5,8.3,8.3,6.5,5.9,6.7,6.1,6.2,2.1,2.7,2.4,4.6,6.7,5.8,6.3,4.6,3.6,4.4,4.2,5.3,5.4,177
Copan,El Paraiso,409,7.3,0,0,8.3,0,4.3,2.4,2.4,3.4,8.2,7.5,7.6,7.8,5.6,7.6,6.7,7.3,6.7,4.3,5.6,7.5,7.3,6.7,7.2,6.5,5.4,177
Copan,San Antonio,415,7,0,0,9.5,0,4.9,1.9,1.9,3.5,8.3,8.1,6.9,7.8,3.1,6.4,5,6.6,6.7,6,6.4,6.4,8.5,6.7,7.2,6.8,5.4,177
Copan,San Jose,417,6.7,0,0,3.7,0,2.6,4.5,4.5,3.6,6.7,7.3,6.5,6.8,1.4,7.1,4.9,5.9,10,6.2,8.8,5.5,5.8,5.3,5.5,7.5,5.4,177
Cortes,Potrerillos,505,7.8,9.3,0,0,0,5,5.9,5.9,5.5,6.4,6.3,6.5,6.4,6.2,3,4.8,5.7,6.7,2.6,5,4.1,6.6,4,4.9,5,5.4,177
Cortes,Santa Cruz de Yojoa,510,8.8,4.9,0,5.2,0,4.7,8.9,8.9,7.3,5.9,6.3,6.6,6.3,8.4,3.5,6.6,6.5,3.3,2.3,2.8,4.4,3.3,4.1,3.9,3.4,5.4,177
Choluteca,Duyure,604,0,9,0,3.8,9.5,6.1,0,0,3.6,7.4,9.4,5.6,7.5,0.5,4.2,2.5,5.5,10,7.1,9,7.4,8.5,4.6,6.8,8.1,5.4,177
Francisco Morazan,La Venta,808,6.6,3.1,0,7.1,9.5,6.3,0.2,0.2,3.9,7.4,8,6.6,7.3,0.9,2.8,1.9,5.2,10,5.7,8.7,6.2,7.5,6,6.6,7.8,5.4,177
Francisco Morazan,Ojojona,813,5.3,0,0,6.2,5.8,4,4,4,4,8.2,7.4,5.9,7.2,0.4,4.5,2.7,5.4,8.3,6.1,7.4,7.6,9.6,5.1,7.4,7.4,5.4,177
La Paz,Opatoro,1210,6.8,0,0,4.2,9.2,5.2,0,0,3,8.6,6.7,7,7.4,0.2,7.5,4.8,6.3,10,8.6,9.4,9.1,7.3,4.9,7.1,8.5,5.4,177
La Paz,San Pedro de Tutule,1214,6.7,0,0,8.4,5.5,5,1.4,1.4,3.4,8,8.4,7.1,7.8,1.2,5.2,3.5,6.1,10,6.2,8.8,7,5.5,4.2,5.6,7.5,5.4,177
Ocotepeque,San Marcos,1413,7,0,0,5.3,6.2,4.3,5.3,5.3,4.8,6.1,5.4,5.2,5.6,8.7,7.1,8,7,6.7,3.1,5.2,4.6,3.6,3.8,4,4.6,5.4,177
Olancho,Mangulile,1514,0,2.2,0,9.8,4,4.8,0,0,2.7,8.9,8.3,8.4,8.5,3.2,6.4,5,7.1,6.7,8,7.4,9.5,9.5,8.6,9.2,8.4,5.4,177
Olancho,Patuca,1523,0,3,0,8.4,0,3.2,3.7,3.7,3.5,8.1,8.2,7.7,8,4,5.4,4.7,6.6,5,5.8,5.4,8.4,9.2,5.4,7.7,6.7,5.4,177
Santa Barbara,Concepcion del Sur,1608,6.5,0,0,9.5,0,4.8,3.6,3.6,4.2,7.2,7.4,6.4,7,4.4,6.6,5.6,6.4,6.7,6.4,6.6,6.3,4.5,5.3,5.4,6,5.4,177
Yoro,El Progreso,1804,7.7,10,0,6.4,0,6.4,10,10,8.8,5.2,5.4,6,5.5,9,3.8,7.2,6.4,3.3,0.8,2.1,3.3,3.9,2.9,3.4,2.8,5.4,177
Cortes,Choloma,502,9.9,8,0,6.2,0,6.4,10,10,8.8,5.2,4.8,5.3,5.1,8.5,2.5,6.4,5.8,3.3,0.6,2.1,3,4.6,3.6,3.7,2.9,5.3,194
Choluteca,San Marcos de Colon,615,6.9,4.1,0,5.5,6.1,4.9,1.9,1.9,3.5,6.7,8.1,6.5,7.1,2.7,4.9,3.9,5.7,10,3.5,8.2,7,8,4.2,6.4,7.4,5.3,194
Francisco Morazan,Distrito Central,801,0,9.9,0,7.7,6.3,6.3,10,10,8.8,4.6,4.8,4.5,4.6,8.1,3.2,6.2,5.5,5,0.2,2.9,1.3,5,2.6,3,3,5.3,194
Intibuca,San Isidro,1011,6.3,0,0,6.8,0,3.3,2.4,2.4,2.9,7.1,7.1,7.1,7.1,0.7,7.5,5,6.2,10,7.3,9.1,8,7.8,4.7,6.8,8.2,5.3,194
