No.,Departamento,Municipio,Año,Tipo de Instrumento ,Ejecutado por
1,Alianza,Valle,2014,Plan Municipal de Gestion de Riesgos,Proyecto Mitigar 
2,Apacilagua,Choluteca,2014,Plan Municipal de Gestion de Riesgos,Proyecto Mitigar 
3,Atlantida ,La Ceiba,2010,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
4,Atlantida ,Tela,2006,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
5,Choluteca,Choluteca,2006,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
6,Choluteca,Concepcion de Maria,2006,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
7,Choluteca,El Triunfo,2006,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
8,Choluteca,Marcovia,2006,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
9,Choluteca,Pespire,2010,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
10,Choluteca,Santa Ana de Yusguare,2006,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
11,Colon,Balfate,2010,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
12,Colon,Balfate,2010,Plan de Emergencia Municipal,Proyecto PMDN
13,Colon,Balfate,2010,Plan Municipal de Ordenamiento Territorial Caracterizacion y Planificacion Regional,Proyecto PMDN
14,Colon,Saba,2006,Plan de Gestion Local de Riesgos,Proyecto PMDN
15,Colon,Sonaguera ,2006,Plan de Gestion Local de Riesgos,Proyecto PMDN
16,Colon,Tocoa,2006,Plan de Gestion Local de Riesgos,Proyecto PMDN
17,Comayagua,La Libertad,2005,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
18,Copan,Cabañas,2010,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
19,Copan,Cabañas,2010,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
20,Copan,Corquin,2010,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
21,Copan,El Paraiso,2006,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
22,Copan,Florida,2006,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
23,Copan,La Jigua,2006,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
24,Copan,La Union,2010,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
25,Copan,Nueva Arcadia,2006,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
26,Copan,San Antonio ,2006,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
27,Copan,San Nicolas,2006,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
28,Copan,Santa Rita ,2010,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
29,Copan,Santa Rosa de Copan,2006,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
30,Copan ,Trinidad,2006,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
31,Copan Ruinas,Copan,2014,Plan Municipal de Gestion de Riesgos,Proyecto Mitigar 
32,Cortes,Choloma,2006,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
33,Cortes,La Lima,2006,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
34,Cortes,Omoa,2006,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
35,Cortes,Pimienta,2006,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
36,Cortes,Potrerillos,2006,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
37,Cortes,Puerto Cortes,2006,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
38,El Paraiso,Danli,2010,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
39,El Paraiso,El Paraiso,2006,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
40,El Paraiso,El Paraiso,2010,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
41,El Paraiso,Teupasenti,2010,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
42,El Paraiso,Yuscaran,2010,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
43,El Rosario,Comayagua,2014,Plan Municipal de Gestion de Riesgos,Proyecto Mitigar 
44,Esquipulas del Norte,Olancho,2014,Plan Municipal de Gestion de Riesgos,Proyecto Mitigar 
45,Francisco Morazan,Curaren,2005,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
46,Guimaca,Francisco Morazan,2014,Plan Municipal de Gestion de Riesgos,Proyecto Mitigar 
47,Intibuca,Concepcion,2005,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
48,Intibuca,Intibuca,2010,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
49,Juticalpa,Olancho,2014,Plan Municipal de Gestion de Riesgos,Proyecto Mitigar 
50,La Paz,La Paz,2014,Plan Municipal de Gestion de Riesgos,Proyecto Mitigar 
51,La Paz,Lauteriqueque,2006,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
52,La Paz,Puringla,2006,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
53,La Paz,Yarula,2010,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
54,Lempira,Colomoncagua,2006,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
55,Lempira,Gracias,2010,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
56,Lempira,Lepaera,2006,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
57,Lempira,San Manuel de Colohete,2010,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
58,Lempira ,San Francisco ,2005,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
59,Namasigue,Choluteca,2014,Plan Municipal de Gestion de Riesgos,Proyecto Mitigar 
60,Ocotepeque,Belen Gualcho,2005,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
61,Ocotepeque,Ocotepeque,2010,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
62,Ocotepeque,San Francisco del Valle,2005,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
63,Ocotepeque,San Marcos,2006,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
64,Ocotepeque,Sensenti,2006,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
65,Olanchito,Yoro,2014,Plan Municipal de Gestion de Riesgos,Proyecto Mitigar 
66,San Lorenzo,Valle,2014,Plan Municipal de Gestion de Riesgos,Proyecto Mitigar 
67,San Marcos de Colon,Choluteca,2014,Plan Municipal de Gestion de Riesgos,Proyecto Mitigar 
68,Santa Barbara,Atima,2006,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
69,Santa Barbara,Gualala,2006,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
70,Santa Barbara,Las Vegas,2006,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
71,Santa Barbara,Naranjito,2006,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
72,Santa Barbara,San Jose de Colinas,2010,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
73,Santa Barbara,San Luis,2006,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
74,Santa Barbara,Santa Barbara,2006,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
75,Santa Barbara,Trinidad,2010,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
76,Santa Fe,Ocotepque,2014,Plan Municipal de Gestion de Riesgos,Proyecto Mitigar 
77,Santa Rosa de Copan,Nueva Arcadia,2006,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
78,Siguatepeque,Comayagua,2014,Plan Municipal de Gestion de Riesgos,Proyecto Mitigar 
79,Trojes,El Paraiso,2014,Plan Municipal de Gestion de Riesgos,Proyecto Mitigar 
80,Valle,Goascoran,2010,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
81,Valle,Nacaome,2005,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
82,Villanueva,Cortes,2014,Plan Municipal de Gestion de Riesgos,Proyecto Mitigar 
83,Yamaranguila,Intibuca,2010,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
84,Yoro,Yorito ,2010,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
85,Yoro,Yoro,2014,Plan Municipal de Gestion de Riesgos,Proyecto Mitigar 