No.;Número de Expediente;Nombre de Proyecto;Tipo de Licencia Operativa/Funcional;Fecha de Emisión de Licencia;Municipio ;Departamento;Sector 
122;2006-A-518;INSTALACION DE TRES ANTENAS  MUNICIPIO DE TALANGA   DEPARTAMENTO DE FRANCISCO MORAZAN  SITIO LA ESPERANZA;RENOVACION  LICENCIA;27/2/2019;TALANGA;FRANCISCO MORAZAN;TELECOMUNICACIONES
123;2003-A-367-D;INSTALACION DE  ANTENA ATLANTIDA  MEGATEL  S. A. DE C. V. (SITIO 5  CEI_3  LA CEIBA);RENOVACION  LICENCIA;27/2/2019;LA CEIBA;ATLANTIDA;TELECOMUNICACIONES
124;2005-A-63-T;INSTALACION DE  ANTENAS SAN PEDRO SULA MEGATEL  S. A. DE C. V. SITIO LAS PALMAS ;RENOVACION  LICENCIA;28/2/2019;SAN PEDRO SULA;CORTES;TELECOMUNICACIONES
125;2005-A-63-E;INSTALACION DE  ANTENAS SAN PEDRO SULA MEGATEL   SITIO SATELITE;RENOVACION  LICENCIA;28/2/2019;SAN PEDRO SULA;CORTES;TELECOMUNICACIONES
126;2005-A-63-G;INSTALACION DE  ANTENAS SAN PEDRO SULA MEGATEL   SITIO VILLA OLIMPICA;RENOVACION  LICENCIA;28/2/2019;SAN PEDRO SULA;CORTES;TELECOMUNICACIONES
127;2005-A-604-H;INSTALACION DE  ANTENAS  COPAN  MEGATEL   SITIO  CERRO NEGRO;AUDITORIA;28/2/2019;SANTA RITA;COPAN;TELECOMUNICACIONES
128;2005-A-600-J;INSTALACION DE  ANTENA   SANTA BARBARA MEGATEL   SITIO  GUALALA;AUDITORIA;28/2/2019;SAN JOSE DE COLINAS;SANTA BARBARA;TELECOMUNICACIONES
129;2005-A-600-K;INSTALACION DE  ANTENAS   SANTA BARBARA   SITIO  TRINIDAD;AUDITORIA;28/2/2019;SAN JOSE DE COLINAS;SANTA BARBARA;TELECOMUNICACIONES
130;2005-A-600-G;INSTALACION DE  ANTENA   SANTA BARBARA   (QUIMISTAN);AUDITORIA;28/2/2019;QUIMISTAN;SANTA BARBARA;TELECOMUNICACIONES
131;2005-A-600-F;INSTALACION DE  ANTENA   SANTA BARBARA   SITIO EL CIRUELO;AUDITORIA;28/2/2019;QUIMISTAN;SANTA BARBARA;TELECOMUNICACIONES
132;2003-A-372-E;INSTALACION DE  ANTENA   SITIO ZARCIADERO;RENOVACION  LICENCIA;28/2/2019;SIGUATEPEQUE;COMAYAGUA;TELECOMUNICACIONES
133;2003-A-372-C;INSTALACION DE  ANTENA   SITIO BARRIO EL CENTRO;RENOVACION  LICENCIA;28/2/2019;SIGUATEPEQUE;COMAYAGUA;TELECOMUNICACIONES
134;2008-A-861;EMPLAZAMIENTO DE CELDAS DE TELEFONIA CELULAR  SITIO ALPES ABAJO;RENOVACION  LICENCIA;28/2/2019;JESUS DE OTORO;INTIBUCA;TELECOMUNICACIONES
135;2005-A-63-L;INSTALACION DE ANTENAS SAN PEDRO SULA MEGATEL  SITIO VILLAS MACKAY;RENOVACION  LICENCIA;28/2/2019;SAN PEDRO SULA;CORTES;TELECOMUNICACIONES
136;2006-A-11;CELDA DE TRANSMISION SITIO CERRO EL BRUJO;AUDITORIA;28/2/2019;JUTICALPA;OLANCHO;TELECOMUNICACIONES
137;2005-A-600-I;INSTALACION DE ANTENA SANTA  BARBARA  SITIO CHIMIZALES;AUDITORIA;28/2/2019;SAN JOSE DE COLINAS;SANTA BARBARA;TELECOMUNICACIONES
138;2005-A-604-B;INSTALACION DE ANTENAS  COPAN MEGATEL  SITIO CUCUYAGUA;AUDITORIA;28/2/2019;CUCUYAGUA;COPAN;TELECOMUNICACIONES
139;2005-A-604-C;INSTALACION DE ANTENAS  COPAN MEGATEL  SITIO SAN JERONIMO;AUDITORIA;28/2/2019;JERONIMO;COPAN;TELECOMUNICACIONES
140;2005-A-604-D;INSTALACION DE ANTENAS  COPAN MEGATEL  S.A. DE C. V. (SITIO CERRO EL CONAL);AUDITORIA;28/2/2019;SANTA ROSA DE COPAN;COPAN;TELECOMUNICACIONES
141;2004-A-158;GRUPO INDUSTRIAL RIO BLANQUITO;RENOVACION  LICENCIA;5/3/2019;CHOLOMA;CORTES;INDUSTRIAL
142;SLAS-0000220-2018;CELTEL DATA CENTER;FUNCIONAL;5/3/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;AGROPECUARIO
143;SLAS-0000069-2018;PLANTA PROCESADORA DE HUEVO LIQUIDO PASTEURIZADO;FUNCIONAL;12/3/2019;SANTA RITA;COPAN;TELECOMUNICACIONES
144;SLAS-0000301-2016;DROGUERIA KARNEL  S. A.;FUNCIONAL;12/3/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INDUSTRIAL
145;SLAS-0000162-2016;FINCA PALMA ZOILABE;FUNCIONAL;12/3/2019;TELA ;ATLANTIDA;AGROPECUARIO
146;SLAS-0000260-2016;BENEFICIO HUMEDO APROCAER;FUNCIONAL;12/3/2019;LA UNION;COPAN;AGROPECUARIO
147;2003-A-373-C;INSTALACION DE ANTENA SITIO CATACAMAS 1;RENOVACION  LICENCIA;18/3/2019;CATACAMAS;OLANCHO;TELECOMUNICACIONES
148;2003-A-373-D;INSTALACION DE ANTENAS  OLANCHO  MEGATEL  S. A. DE C. V. (SITIO CARRIZALITO 1) ;RENOVACION  LICENCIA;18/3/2019;JUTICALPA;OLANCHO;TELECOMUNICACIONES
149;2003-A-377-B;INSTALACION DE ANTENAS  EL PARAISO   MEGATEL  S. A. DE C. V. (SITIO DANLI 02) ;RENOVACION  LICENCIA;18/3/2019;DANLI;EL PARAISO;TELECOMUNICACIONES
150;2015-LA-00128;AGRO INDUSTRIA LAEPE  S. A. (FABRICA DE PUROS);AUDITORIA;19/3/2019;DANLI;EL PARAISO;INDUSTRIAL
151;2003-A-367-C;INSTALACION DE ANTENAS  ATLANTIDA  MEGATEL  S. A. DE C. V.  (SITIO (CEI_1);RENOVACION  LICENCIA;18/3/2019;LA CEIBA;ATLANTIDA;TELECOMUNICACIONES
152;2003-A-375;INSTALACION DE ANTENAS YORO MEGATEL   SITIO 1  (PROG_03);RENOVACION  LICENCIA;19/3/2019;EL PROGRESO;YORO;TELECOMUNICACIONES
153;2006-A-811;INSTALACION DE ANTENA FRAY PEDRO  MUNICIPIO DE GUALACO  DEPARTAMENTO DE OLANCHO  SERCOM  S. A. DE  C. V.;AUDITORIA;19/3/2019;GUALACO;OLANCHO;TELECOMUNICACIONES
154;2005-A-604-A;INSTALACION DE ANTENAS COPAN   MEGATEL  SITIO LA ENTRADA;AUDITORIA;19/3/2019;NUEVA ARCADIA;COPAN;TELECOMUNICACIONES
155;2005-A-604-K;INSTALACION DE ANTENAS COPAN   MEGATEL  SITIO CERRO GRANDE;AUDITORIA;19/3/2019;SAN NICOLAS;COPAN;TELECOMUNICACIONES
156;2005-A-604-F;INSTALACION DE ANTENAS COPAN   MEGATEL  SITIO EL FLORIDO;AUDITORIA;19/3/2019;COPAN RUINAS;COPAN;TELECOMUNICACIONES
157;2003-A-375-B;INSTALACION DE ANTENA YORO  MEGATEL  S. A. DE C. V. SITIO 3  (PROG_4);AUDITORIA;19/3/2019;EL PROGRESO;YORO;TELECOMUNICACIONES
158;2006-A-316;URBANIZACION VILLAS DEL CARMEN OESTE;RENOVACION LICENCIA;20/3/2019;TELA;ATLANTIDA;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
159;2006-A-487;INSTALACION DE ANTENAS MUNICIPIO DE JUTICALPA  DEPARTAMENTO DE OLANCHO (SITIO VALLE DE LEPAGUARE);RENOVACION LICENCIA;20/3/2019;JUTICALPA;OLANCHO;TELECOMUNICACIONES
160;2006-A-551-A;INSTALACION DE ANTENAS MUNICIPIO DE TOCOA  DEPARTAMENTO DE COLON  SERCOM  S. A. DE  C. V. SITIO TOCOA II ;LICENCIA;20/3/2019;TOCOA;COLON;TELECOMUNICACIONES
161;2005-A-63-M;INSTALACION DE ANTENAS SAN PEDRO SULA  MEGATEL ;RENOVACION  LICENCIA;20/3/2019;SAN PEDRO SULA;CORTES;TELECOMUNICACIONES
162;2006-A-551-B;INSTALACION DE ANTENAS MUNICIPIO DE TOCOA  DEPARTAMENTO DE COLON  SERCOM ;RENOVACION  LICENCIA;20/3/2019;TOCOA;COLON;TELECOMUNICACIONES
163;2005-A-63;INSTALACION DE ANTENAS  SAN PEDRO SULA MEGATEL   SITIO EL ROBLE II (CURN) ;RENOVACION  LICENCIA;20/3/2019;SAN PEDRO SULA;CORTES;TELECOMUNICACIONES
164;2008-A-565;EMPLAZAMIENTO DE CELDAS DE TELEFONIA CELULAR  SITIO EL ZAPOTE ;RENOVACION  LICENCIA;20/3/2019;CONCORDIA;OLANCHO;TELECOMUNICACIONES
165;SLAS-0000325-2017;HGPC AGRICOLA  S. A. DE C. V. PARA CULTIVO DE KING GRASS  FINCA JUCUTUMA;FUNCIONAL;20/3/2019;SAN PEDRO SULA;CORTES;AGROPECUARIO
166;2007-A-142;ESTACION DE SERVICIO PUMA JESUS DE OTORO;RENOVACION  LICENCIA;20/3/2019;JESUS DE OTORO;INTIBUCA;PETROLEO GAS E HIDROCARBUROS 
167;13-AA-2001;ESTACION DE SERVICIO PUMA 21 DE OCTUBRE;REPOSICION  LICENCIA;21/3/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;PETROLEO GAS E HIDROCARBUROS 
168;2005-AA-311;EXPRESO COMERCIAL EXPRECO;RENOVACION   LICENCIA;21/3/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
169;SLAS-0000135-2016;GTM HONDURAS ZONA LIBRE  S. A. DE C. V.;FUNCIONAL;27/3/2019;CHOLOMA;CORTES;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
170;SLAS-0000525-2017;AMPLIACION DE PLAZA BOULEVARD MARCO TULIO RODRIGUEZ;FUNCIONAL;27/3/2019;GRACIAS;LEMPIRA;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
171;SLAS-0000361-2017;CONSTRUCCION CEIN COMAYAGUA;FUNCIONAL;27/3/2019;COMAYAGUA;COMAYAGUA;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
172;SLAS-0000168-2018;AMPLIACION ESCUELA DE AGRICULTURA VALLE DE SULA ;FUNCIONAL;27/3/2019;CHOLOMA;CORTES;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
173;SLAS-0000586-2017;CONSTRUCCION POLICLINICO  SAN FRANCISCO DE LA PAZ;FUNCIONAL;27/3/2019;SAN FRANCISCO DE LA PAZ;OLANCHO;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
174;2010-A-264;CONSTRUCCION DE TORRE PARA TELEFONIA CELULAR  SITIO BELLA VISTA  DANLI;RENOVACION LICENCIA;29/3/2019;DANLI;EL PARAISO;TELECOMUNICACIONES
175;2006-A-329;PRIDE CHEMICALS  S. DE R. L. DE C. V. ;RENOVACION LICENCIA;2/4/2019;QUIMISTAN;SANTA BARBARA;INDUSTRIAL 
176;2014-LA-00007;FINCA DE PRODUCCION DE CAMARON AQUACULTIVOS DE HONDURAS;AUDITORIA;2/4/2019;MARCOVIA;CHOLUTECA;AGROPECUARIO
177;2005-A-589-A;INSTALACION DE ANTENAS EL PARAISO MEGATEL  (SITIO LAS CRUCITAS) ;AUDITORIA;8/4/2019;POTRERILLOS;EL PARAISO;TELECOMUNICACIONES
178;2005-A-589-B;INSTALACION DE ANTENAS EL PARAISO MEGATEL  (SITIO EL PARAISO) ;AUDITORIA;8/4/2019;EL PARAISO;EL PARAISO;TELECOMUNICACIONES
179;2005-A-589-D;INSTALACION DE ANTENAS EL PARAISO MEGATEL  (SITIO LAS MANOS) ;AUDITORIA;8/4/2019;EL PARAISO;EL PARAISO;TELECOMUNICACIONES
180;2005-A-589-F;INSTALACION DE ANTENAS EL PARAISO MEGATEL  SITIO TEUPASENTI;AUDITORIA;8/4/2019;EL PARAISO;EL PARAISO;TELECOMUNICACIONES
181;2005-A-589-C;INSTALACION DE ANTENAS EL PARAISO MEGATEL  SITIO LASD CAÑAS (SOMPOPAL);AUDITORIA;8/4/2019;EL PARAISO;EL PARAISO;TELECOMUNICACIONES
182;2003-A-528;INSTALACION DE ANTENAS SAN PEDRO SULA   MEGATEL  S. A. DE C. V. (22 SITIOS);LICENCIA;9/4/2019;SAN PEDRO SULA;CORTES;TELECOMUNICACIONES
183;114-A-2000;CONCESION MINERA NO METALICA EL SOCORRO;REPOSICION LICENCIA;10/4/2019;TELA;ATLANTIDA;MINERO
184;SLAS-0000001-2018;CONSTRUCCION CAJA PUENTE GUALCEA;FUNCIONAL;10/4/2019;GUALCINCE;LEMPIRA;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
185;SLAS-0000101-2016;SOCIEDAD MERCANTIL  CLINICA DE CIRUGIA PLASTICA MIA  S.  DE R. L. DE C. V.;FUNCIONAL;11/4/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
186;2005-A-525;CELDA FLORIDA;RENOVACION LICENCIA;11/4/2019;JIGUA;COPAN;TELECOMUNICACIONES
187;2005-A-739;CONSTRUCCION DE TORRE PARA TELEFONIA CELULAR  SITIO  NACO II;RENOVACION LICENCIA;11/4/2019;QUIMISTAN;SANTA BARBARA;TELECOMUNICACIONES
188;2009-A-369;EMPLAZAMIENTO DE TORRE Y CELDAS DE TRANSMISION DE RADIO FRECUENCIAS DE TELEFONIA MOVIL  SITIO EL SAUCE CORTES;RENOVACION LICENCIA;11/4/2019;VILLANUEVA;CORTES;TELECOMUNICACIONES
189;2007-A-496;CONSTRUCCION DE TORRE PARA TELEFONIA CELULAR  SITIO ARENA BLANCA  JURISDICCION DEL MUNICIPIO DEL PROGRESO  DEPARTAMENTO DE YORO;RENOVACION LICENCIA;11/4/2019;EL PROGRESO;YORO;TELECOMUNICACIONES
190;2007-A-767;CONSTRUCCION DE TORRE PARA TELEFONIA CELULAR  SITIO FLORENCIA SUR;RENOVACION LICENCIA;11/4/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;TELECOMUNICACIONES
191;2008-A-799;CONSTRUCCION DE TORRE PARA TELEFONIA CELULAR  SITIO SESESMIL;RENOVACION LICENCIA;12/4/2019;COPAN RUINAS;COPAN;TELECOMUNICACIONES
192;2007-A-26;EMPLAZAMIENTO DE TORRE Y CELDAS DE TRANSMISION DE RADIO FRECUENCIAS DE TELEFONIA MOVIL  SITIO SAN CARLOS;RENOVACION LICENCIA;12/4/2019;OLANCHITO;YORO;TELECOMUNICACIONES
193;41-A-2001;AMPLIACION ETAPA DOS (2) DE RESIDENCIAL BELLO HORIZONTE;REPOSICION DE LICENCIA;23/4/2019;CHOLOMA;CORTES;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
194;SLAS-0000303-2016;ALMACENAMIENTO DE  COMBUSTIBLES (ESTACION DE SERVICIO EL DIAMANTE);FUNCIONAL;23/4/2019;LA CEIBA;ATLANTIDA;PETROLEO GAS E HIDROCARBUROS 
195;SLAS-0000099-2018;MEGAPLAZA PROGRESO;FUNCIONAL;23/4/2019;EL PROGRESO;YORO;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
196;SLAS-0000543-2017;PROYECTO SOLAR MEGA PLAZA MALL ROATAN;FUNCIONAL;24/4/2019;ROATAN;ISLAS DE LA BAHIA;ENERGIA
197;SLAS-0000624-2017;SANTA ROSA IV;FUNCIONAL;24/4/2019;SANTA ROSA DE COPAN;COPAN;TELECOMUNICACIONES
198;SLAS-0000254-2016;GRANJA AVICOLA LAS BRISAS;FUNCIONAL;25/4/2019;DANLI;EL PARAISO;AGROPECUARIO
199;SLAS-0000536-217;CONSTRUCCION  PARQUE RECREATIVO;FUNCIONAL;25/4/2019;GRACIAS;LEMPIRA;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
200;SLAS-0000399-2017;CONSTRUCCION CEIN SANTA ROSA DE COPAN;FUNCIONAL;25/4/2019;SANTA ROSA DE COPAN;COPAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
201;2007-A-981;CONSTRUCCION  DE TORRE PARA TELEFONIA CELULAR SITIO LA CUCHILLA;RENOVACION  LICENCIA;29/4/2019;FLORIDA;COPAN;TELECOMUNICACIONES
202;SLAS-0000169-2018;HOTEL ELVIR;FUNCIONAL;29/4/2019;SANTA ROSA DE COPAN;COPAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
203;2008-A-454;JUNTA DE RIOS;AUDITORIA;29/4/2019;SANTA DE COPAN;COPAN;MINERO
204;2004-A-473;LABORATORIO DE PRODUCTOS FARMACEUTICOS PHARMA INTERNACIONAL S.DE R.L.;RENOVACION  LICENCIA;30/4/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INDUSTRIAL
205;2008-A-1251;EMPLAZAMIENTO DE TORRE Y CELDAS DE TRANSMISION DE RADIO FRECUENCIAS DE TELEFONIA MOVIL SITIO NACO PUEBLO  ALDEA COFRADIA;RENOVACION  LICENCIA;30/4/2019;SAN PEDRO SULA;CORTES;TELECOMUNICACIONES
206;2010-A-359;HOSPITAL SEMESUR;RENOVACION  LICENCIA;30/4/2019;CHOLUTECA;CHOLUTECA;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
207;2003-A-17;SIEMBRA DE PALMA AFRICANA;RENOVACION  LICENCIA;30/4/2019;TRUJILLO;COLON;AGROPECUARIO
208;SLAS-0000080-2018;ESTACION DE SERVICIO UNO SANTA ELENA;FUNCIONAL;30/4/2019;FLORIDA;COPAN;PETROLEO GAS E HIDROCARBUROS 
209;SLAS-0000562-2017;FRUVETSA;FUNCIONAL;30/4/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
210;SLAS-0000141-2016;LUBRIWASH MILASA;FUNCIONAL;30/4/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;SERVICIOS
211;SLAS-0000632-2017;COLONIA FIGUEROA;FUNCIONAL;6/5/2019;SANTA  ROSA DE COPAN;COPAN;TELECOMUNICACIONES
212;SLAS-0000619-2017;SANTA ROSA VI;FUNCIONAL;6/5/2019;SANTA ROSA DE COPAN;COPAN;TELECOMUNICACIONES
213;SLAS-0000596-2017;CONSTRUDECO No.1;FUNCIONAL;6/5/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INDUSTRIAL 
214;SLAS-0000063-2016;DSD RADIODIAGNOSTICO;FUNCIONAL;6/5/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
215;SLAS-0000082-2016;DESPENSA FAMILIAR EL PARAISO;FUNCIONAL;6/5/2019;EL PARAISO;EL PARAISO;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
216;2007-A-818;CANTERA LA CRIBA;AUDITORIA;7/5/2019;SAN LORENZO;CHOLUTECA;MINERO
217;2005-A-297;ESTACION DE SERVICIO PUMA BOULEVARD DEL SUR;RENOVACION LICENCIA;7/5/2019;SAN PEDRO SULA;CORTES;PETROLEO GAS E HIDROCARBUROS 
218;096-A-2002;CULTIVOS DE PECES EN JAULAS FLOTANTES AQUAFINCA DOBLE COSECHA;REPOSICION  LICENCIA;7/5/2019;TAULABE;COMAYAGUA;AGROPECUARIO 
219;SLAS-0000315-2018;ESTACION EL MILAGRO  S. DE R. L.;FUNCIONAL;7/5/2019;VILLANUEVA;CORTES;PETROLEO GAS E HIDROCARBUROS 
220;2014-LA-00006;FINCA DE PRODUCCION DE CAMARONES LAS ARENAS;AUDITORIA;8/5/2019;MARCOVIA;CHOLUTECA;AGROPECUARIO
221;SLAS-0000155-2018;MOLIENDA MODULAR DE CEMENTO;FUNCIONAL;10/5/2019;CHOLOMA;CORTES;INDUSTRIAL
222;SLAS-0000083-2018;REHABILITACION DE TRAMO CARRETERO VIRREY-MACUELIZO-AZACUALPA-CON UNA LONGITUD APROXIMADA DE 10 KIM;FUNCIONAL;10/5/2019;MACUELIZO Y AZACUALPA;SANTA BARBARA;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
223;SLAS-0000151-2018;REPARACION INSTITUTO DOROTEO VARELA MEJIA;FUNCIONAL;13/5/2019;LA PAZ;LA PAZ;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
224;SLAS-0000157-2018;CANALIZACION DE AGUAS  PLUVIALES Y CONSTRUCCION DE MURO DE PROTECCION EN COLONIA LA PAZ  PARA REDUCCION DE RIESGO EN EL MUNICIPIO DE SAN FRANCISCO DE YOJOA;FUNCIONAL;13/5/2019;SAN FRANCISCO DE YOJOA;CORTES;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
225;SLAS-0000524-2017;CONSTRUCCION LINEA DE CONDUCCION DE AGUA POTABLE;FUNCIONAL;13/5/2019;CATACAMAS;OLANCHO;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
226;SLAS-0000172-2016;CONSTRUCCION REHABILITACION Y MEJORAMIENTO DE LA CARRETERA CA-5 SUR TEGUCIGALPA-JICARO GALAN  TRAMO JICARO GALAN LA VENTA DEL SUR;FUNCIONAL;13/5/2019;NACAOME  PESPIRE  SAN ANTONIO DE FLORES LA VENTA DEL SUR;VALLE  CHOLUTECA Y FRANCISCO MORAZANZ;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
227;SLAS-0000065-2016;MANEJO RECOLECCION  TRANSPORTE Y DISPOSCICION FINAL DE DESECHOS HOSPITALARIOS;FUNCIONAL;16/5/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;SANEAMIENTO
228;2005-A-412;CONSTRUCCION DE TORRE PARA TELEFONIA CELULAR  CELDA TROJES;RENOVACION  LICENCIA;16/5/2019;TROJES;EL PARAISO;TELECOMUNICACIONES
229;SLAS-0000479-2017;THE ACADEMY DEL CAMPO INTERNATIONAL;FUNCIONAL;16/5/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
230;SLAS-0000480-2017;DEL CAMPO INTERNATIONAL SCHOOL;FUNCIONAL;16/5/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
231;SLAS-0000134-2018;ESTACION DE SERVICIOS TEXACO MIRAMONTES;FUNCIONAL;16/5/2019;CHOLUTECA;CHOLUTECA;PETROLEO GAS E HIDROCARBUROS 
232;SLAS-0000382-2017;PLANTEL DE CONCRETO;FUNCIONAL;16/5/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INDUSTRIAL
233;SLAS-0000287-2016;TABACOS DE DANLI  S. A. DE C. V. ;FUNCIONAL;21/5/2019;DANLI;EL PARAISO;AGROPECUARIO
234;SLAS-0000173-2016;AVICOLA GANADERA SAN ANTONIO  S. DE R. L. DE C. V.;FUNCIONAL;21/5/2019;TRINIDA DE COPAN;COPAN;AGROPECUARIO
235;2009-A-662;PLANTA DE ACOPIO Y DISTRIBUCION DE GLP;RENOVACION LICENCIA;21/5/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
236;2007-A-627;PLANTA PURIFICADORA DE AGUA BEBIDAS MODERNAS;REPOSICION DE RENOVACION LICENCIA;21/5/2019;SANTA ANA;FRANCISCO MORAZAN;INDUSTRIAL
237;2011-A-371;HOTEL SANTA FE;RENOVACION LICENCIA;21/5/2019;SANTA ROSA DE COPAN;COPAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
238;SLAS-000070-2018;SISTEMA DE ALCANTARILLADO SANITARIO Y ESTACION DEPURADORA DE AGUAS RESIDUALES EN EL CASCO URBANO DEL MUNICIPIO DE SAN JOSE  LA PAZ;FUNCIONAL;22/5/2019;SAN JOSE;L A PAZ;SANEAMIENTO
239;SLAS-0000057-2016;FINCA AGRICOLA LA AURORA;FUNCIONAL;23/5/2019;SAN LORENZO;VALLE;AGROPECUARIO
240;SLAS-0000292-2016;AMPLIACION CEB HIBUERAS Y JARDIN DE NIÑOS DULCE INFANCIA;FUNCIONAL;23/5/2019;SANTA ELENA;LA PAZ;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
241;SLAS-0000389-2017;CONSTRUCCION DE ALCANTARILLADO Y PLANTA DE AGUAS RESIDUALES DE LA COLONIA SAN JOSE DEL CANADA;FUNCIONAL;23/5/2019;CHOLUTECA;CHOLUTECA;SANEAMIENTO
242;SLAS-000014-2018;AMPLIACION CESAMO;FUNCIONAL;24/5/2019;LA CEIBA;ATLANTIDA;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
243;SLAS-0000161-2016;CONSTRUCCION DE PUENTE SOBRE EL RIO HUMUYA;FUNCIONAL;24/5/2019;COMAYAGUA;COMAYAGUA;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
244;SLAS-0000193-2018;REHABILITACION DE CAMINO RURAL TERCIARIO EN TRAMOS:TAPATOCA-AGUA TIBIA  TAPATOCA-RIO EL RINCON  CRUCITAS-LA BARRANCA;FUNCIONAL;24/5/2019;PESPIRE Y CHOLUTECA;CHOLUTECA;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
