No.;Número de Expediente;Nombre de Proyecto;Tipo de Licencia Operativa/Funcional;Fecha de Emisión de Licencia;Municipio ;Departamento;Sector 
245;SLAS-0000291-2018;REHABILITACION Y MANTENIMIENTO DE RED VIAL DE TERRACERIA TRAMOS: DESVIO HORCONCILLOS-SANTA JUANA TRAMO: LIMITE TAMBLA- EL ZAPOTE-AZACUALPA-ALDEA NUEVA TRAMO : ALDEA NUEVA  EL MOROO-ZUNCUYO-SAN CRISTOBAL Y TRAMO: SAN JUAN-SANTA JUANA;FUNCIONAL;27/5/2019;TOMALA;LEMPIRA;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
246;SLAS-0000195-2018;REMODELACION LABORATORIO DE SENASA;FUNCIONAL;27/5/2019;SANTA ROSA DE COPAN;COPAN;INDUSTRIAL
247;2008-A-1462;RESIDENCIAL LA HACIENDA;RENOVACION LICENCIA;27/5/2019;SAN PEDRO SULA;CORTES;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
248;SLAS-0000187-2018;REMODELACION LABORATORIO DE SENASA  CONTROL DE CALIDAD DE PLAGUICIDAS Y FORMULADOS;FUNCIONAL;27/5/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INDUSTRIAL
249;SLAS-0000194-2018;REMODELACION LABORATORIO DE SENASA;FUNCIONAL;28/5/2019;LA CEIBA;ATLANTIDA;INDUSTRIAL
250;2006-A-413;URBANIZACION LOS HIDALGOS;FUNCIONAL;30/5/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
251;2006-A-413;URBANIZACION LOS HIDALGOS II FASE;FUNCIONAL;30/5/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
252;SLAS-0000152-2018;REPARACION ESCUELA AGRICOLA LUIS LANDA;FUNCIONAL;30/5/2019;NACAOME;VALLE;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
253;SLAS-0000207-2018;REHABILITACION DEL TRAMO AZACUALPA-SAN LORENZO;FUNCIONAL;30/5/2019;CANDELARIA;LEMPIRA;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
254;SLAS-0000156-2018;REHABILITACION DEL TRAMO GUALMURUCA CAÑADAS;FUNCIONAL;30/5/2019;CANDELARIA;LEMPIRA;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
255;SLAS-0000161-2018;REHABILITACION DEL TRAMO AZACUALPA-BUENA VISTA;FUNCIONAL;30/5/2019;CANDELARIA;LEMPIRA;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
256;SLAS-0000529-2017;PLANTEL DE ESTACIONAMIENTO Y OFICINA ADMINISTRATIVA DE TRANSPORTES ESPECIALIZADOS DE CENTRO AMERICA  S. DE R. L.;FUNCIONAL;30/5/2019;SANTA ANA;FRANCISCO MORAZAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
257;2007-A-1091;INSETUR  HOTEL MONTEOLIVOS;RENOVACION LICENCIA;30/5/2019;SAN PEDRO SULA;CORTES;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
258;2012-LA-00104;ESTACION DE SERVICIO UNO SUYAPA;AUDITORIA;4/6/2019;LA CEIBA;ATLANTIDA;PETROLEO GAS E HIDROCARBUROS 
259;2003-A-114;SACOS AGROINDUSTRIALES DE HONDURAS  S. A. DE C. V.;RENOVACION DE LICENCIA;6/6/2019;SAN PEDRO SULA;CORTES;INDUSTRIAL
260;2009-A-710;DA GAS ILAMAPA;RENOVACION DE LICENCIA;7/6/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;PETROLEO GAS E HIDROCARBUROS 
261;2005-A-563;DIKIES DE HONDURAS  S. A.;RENOVACION DE LICENCIA;7/6/2019;CHOLOMA;CORTES;INDUSTRIAL
262;SLAS-0000516-2017;RESIDENCIAL COLINA CAMPESTRE;FUNCIONAL;7/6/2019;DANLI;EL PARAISO;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
263;SLAS-000057-2018;SECADORA DE GRANO DE CAFÉ GAITAN;FUNCIONAL;7/6/2019;EL PARAISO;EL PARAISO;AGROPECUARIO
264;SLAS-0000129-2018; SUPERMERCADOS LA COLONIA SAN LORENZO;FUNCIONAL;7/6/2019;SAN LORENZO;VALLE;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
265;SLAS-0000592-2017; SUPERMERCADOS LA COLONIA CHOLUTECA TIENDA #15;FUNCIONAL;7/6/2019;CHOLUTECA;CHOLUTECA;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
266;2003-A-527;METROMALL  S. A. DE C. V.;RENOVACION LICENCIA;10/6/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
267;2011-A-221;EXTRACCION DE MATERIALES  PARA LA CONSTRUCCION LOS CASTAÑOS;RENOVACION LICENCIA;12/6/2019;SAN PEDRO SULA;CORTES;MINERO
268;SLAS-0000074-2016;ASERRADERO VILLA SANTA;FUNCIONAL;12/6/2019;DANLI;EL PARAISO;FORESTAL
269;SLAS-0000211-2018;APERTURA DE CARRETERA SANBUENAVENTURA CENTRO-QUBRADITAS;FUNCIONAL;12/6/2019;SAN BUENAVENTURA;FRANCISCO MORAZAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
270;SLAS-0000277-2016;CONSTRUCCION DE PASO A DESNIVEL ACCESO A COL. AMERICA-BULEVA  COMUNIDAD ECONOMICA EUROPEA;FUNCIONAL;12/6/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
271;SLAS-0000190-2018;REMODELACION LABORATORIO DE SENASA;FUNCIONAL;12/6/2019;OLANCHITO;YORO;INDUSTRIAL
272;SLAS-000064-2018;INDUSTRIA FORESTAL DEL ATLANTICO  S.A. ;FUNCIONAL;12/6/2019;YORO;YORO;FORESTAL
273;SLAS-0000106-2019;ESTACION DE SERVICIO SUPER 10;FUNCIONAL;17/6/2019;SAN LUIS;COMAYAGUA;PETROLEO GAS E HIDROCARBUROS 
274;SLAS-0000160-2018;SULACO;FUNCIONAL;;SULACO ;YORO;
275;SLAS-0000127-2018;LABORATORIO CLINICO CACERES;FUNCIONAL;17/6/2019;COMAYAGUA;COMAYAGUA;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
276;SLAS-0000096-2018;TRANSPORTES VARELA SANCHEZ;FUNCIONAL;17/6/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
277;SLAS-0000124-2018;GRANJA AVICOLA EL TIGRE;FUNCIONAL;17/6/2019;SANTA CRUZ DE YOJOA;CORTES;AGROPECUARIO
278;SLAS-0000166-2018;RESIDENCIAL MONTE ALTO;FUNCIONAL;17/6/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
279;SLAS-0000188-2018;REMODELACION LABORATORIO DE SENASA;FUNCIONAL;17/6/2019;JUTICALPA;OLANCHO;INDUSTRIAL
280;SLAS-0000218-2018;MANTENIMIENTO Y REHABILITACION DE CAMINO RURAL TERCIARIO EN TRAMOS:  SANTA TERESA-GUACUTAO -RANCHO OBISPO-POSA VERDE;FUNCIONAL;17/6/2019;SAN MANUEL DE  COLOHETE;LEMPIRA;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
281;SLAS-0000203-2019;MANTENIMIENTO Y REHABILITACION DE CAMINO RURAL TERCIARIO EN TRAMOS:  SAN JOSE-SAN MARTIN-FLORIDA Y TRAMO PEDERNAL -GUASCOTORO;FUNCIONAL;17/6/2019;SAN JOSE;LA PAZ;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
282;SLAS-0000192-2018;REHABILITACION DE CAMINO RURAL TECRECERIO EN TRAMOS: VILLA DE SAN FRANCISCO-COYOLITO-PAJUIN  COYOLITO-CAPIRO  COYOLITO LAS PAVAS  COYOLITO-EL CAMPO;FUNCIONAL;17/6/2019;LA VILLADE SAN FRANCISCO;FRANCISCO MORAZAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
283;2009-A-193;RESIDENCIAL LOS JICAROS;RENOVACION LICENCIA;18/6/2019;SAN PEDRO SULA;CORTES;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
284;2012-LA-00054;PURIFICADORA AGUA DE LA VILLA;RENOVACION LICENCIA;20/6/2019;VILLANUEVA;CORTES;SANEAMIENTO
285;392-AA-2000;ESTACION DE SERVICIO TEXACO GUANACASTE;REPOSICION DE AUDITORIA;20/6/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;PETROLEO GAS E HIDROCARBUROS 
286;2012-AA-00103;PREDIO SBH EL TIZATILLO;AUDITORIA;20/6/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
287;2013-LA-00418;HELECHOS DE HONDURAS  S. DE R. L.;RENOVACION LICENCIA;21/6/2019;SANTA CRUZ DE YOJOA;CPRTES;AGROPECUARIO
288;2007-A-1150;IGLESIA MINISTERIO CRISTIANO RESTAURACION FAMILIAR;RENOVACION LICENCIA;24/6/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
289;2015-LA-00276;CORPORACION KARMANDAR  S. A. DE C. V.; AUDITORIA;26/6/2019;SANTA  CRUZ DE YOJOA ;CORTES;INDUSTRIAL 
290;SLAS-0000478-2017;SAN SEBASTIAN;FUNCIONAL;26/6/2019;SAN SEBASTIAN;COMAYAGUA;AGROPECUARIO
291;2012-LA-00355;MATENIMIENTO MAYOR DE LAS CENTRALES HIDROELECTRICAS CAÑAVERAL Y RIO LINDO;RENOVACION LICENCIA;26/6/2019;SAN FRANCISCO DE YOJOA;CORTES;INDUSTRIAL
292;SLAS-0000123-2018;GRANJA AVICOLA AMAPA;FUNCIONAL;26/6/2019;SAN FRANCISCO DE YOJOA;CORTES;AGROPECUARIO
293;SLAS-0000216-2018;PAVIMENTACION KILOMETRO MUNICIPAL EN CASCO URBANO;FUNCIONAL;26/6/2019;CANDELARIA;LEMPIRA;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
294;SLAS-0000271-2016;SISTEMA ENERGIA SOLAR FOTOVOLTAICA;FUNCIONAL;26/6/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;ENERGIA
295;SLAS-0000217-2018;NIVO LOMAS;FUNCIONAL;26/6/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
296;SLAS-0000377-2017;RELLENO SANITARIO DE LA CIUDAD DE EL PARAISO;FUNCIONAL;26/6/2019;EL PARAISO;EL PARAISO;SANEAMIENTO
297;SLAS-0000100-2018;MEJORAS Y AMPLIACIONES DEL SISTEMA DE AGUA POTABLE DE LA CIUDAD DE COMAYAGUA;FUNCIONAL;26/6/2019;COMAYAGUA;COMAYAGUA;SANEAMIENTO
298;2004-A-188;CANTERA SAPADRIL;RENOVACION LICENCIA;27/6/2019;PUERTO CORTES;CORTES;MINERO
299;SLAS-0000287-2018;TECNISERVICIOS DE INGENIERIA  S. DE R. L.;FUNCIONAL;27/6/2019;SAN MANUEL;CORTES;FORESTAL
300;SLAS-0000575-2017;PRODUCCION DE BIOMASA;FUNCIONAL;2/7/2019;LA LIMA;CORTES;FORESTAL
301;SLAS-0000198-2018;ENGORDE DE GANADO;FUNCIONAL;2/7/2019;VILLA DE SAN ANTONIO;COMAYAGUA;AGROPECUARIO
302;059-AA-2002;INSTALACION DE COMBUSTIBLE DE AVIACION PETRONOR;REPOSICION AUDITORIA;5/7/2019;LA CEIBA;ATLANTIDA;PETROLEO GAS E HIDROCARBUROS 
303;SLAS-0000111-2018;BENEFICIO ECOLOGICO Y SECADORA DE CAFÉ COCAJUNTAL;FUNCIONAL;5/7/2019;LUCERNA;OCOTEPEQUE;AGROPECUARIO
304;SLAS-0000252-2018;CENTRO CIUDAD MUJER JUTICALPA;FUNCIONAL;5/7/2019;JUTICALPA;OLANCHO;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
305;SLAS-0000270-2018;JARDINES DE PAZ SUYAPA;FUNCIONAL;9/7/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
306;SLAS-0000254-2018;SERVICIO DE CREMACION JARDINES LA AUXILIADORA  S. A. DE C. V. ;FUNCIONAL;9/7/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
307;257-A-97;ESTACION DE SERVICIO PUMA JACALEAPA;REPOSICION LICENCIA;9/7/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;PETROLEO GAS E HIDROCARBUROS 
308;SLAS-0000146-2018;COMERCIALIZADORA PDK  S. A. DE C. V.;FUNCIONAL;9/7/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;SERVICIOS
309;2015-LA-00061;PROAGRO  S. A. DE C. V.;AUDITORIA;9/7/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INDUSTRIAL
310;2004-A-176;ESTACION DE SERVICIO UNO EL POLVORIN;FUNCIONAL;10/7/2019;SAN PEDRO SULA;CORTES;PETROLEO GAS E HIDROCARBUROS 
311;SLAS-0000162-2018;RESIDENCIAL SANTA LUCIA;FUNCIONAL;10/7/2019;VILLANUEVA;CORTES;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
312;2015-LA-00275;ALCANTARILLADO SANITARIO Y SISTEMA DE TRATAMIENTO DE AGUAS RESIDUALES PARA LA ALDEA EL JICARITO;LICENCIA;10/7/2019;SAN ANTONIO DE ORIENTE;FRANCISCO MORAZAN;SANEAMIENTO
313;56-A-2000;EXPANSION DE LA PLANTA DE CEMENTOS DEL NORTE  NUEVA LINEA DE PRODUCCION;RENOVACION LICENIA;10/7/2019;CHOLOMA;CORTES;INDUSTRIA
314;2009-A-285;GASOLINERA EL CUBULERO;RENOVACION    LICENIA;10/7/2019;ALIANZA;VALLE;PETROLEO GAS E HIDROCARBUROS 
315;SLAS-0000009-2018;ESTACION DE SERVICIO JUCUTUMA;FUNCIONAL;10/7/2019;SAN PEDRO SULA;CORTES;PETROLEO GAS E HIDROCARBUROS 
316;SLAS-0000137-2018;LA COLONIA COMAYAGUA #2;FUNCIONAL;11/7/2019;COMAYAGUA;COMAYAGUA;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
317;SLAS-0000166-2016;FABRICA DE BLOQUES Y ADOQUINES;FUNCIONAL;11/7/2019;COMAYAGUA;COMAYAGUA;INDUSTRIAL
318;2011-A-182;LLANOS DE CARMEL;RENOVACION LICENCIA;11/7/2019;DANLI;EL PARAISO;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
319;SLAS-0000072-2018;MAXI DESPENSA CHOLOMA;FUNCIONAL;11/7/2019;CHOLOMA;CORTES;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
320;SLAS-0000249-2018;MAXI DESPENSA LOPEZ ARELLANO;FUNCIONAL;11/7/2019;CHOLOMA;CORTES;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
321;SLAS-000118-2018; DESPENSA FAMILIAR LA PLANETA;FUNCIONAL;11/7/2019;LA LIMA;CORTES;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
322;SLAS-0000177-2016;PLAZA DE PLANTA PARA LA GENERACIN DE ENERGIA ELECTRICA;FUNCIONAL;12/7/2019;ROATAN;ISLAS DE LA BAHIA;ENERGIA
323;SLAS-0000200-2018;RESIDENCIAL ALTOS DE TRAPICHE VI ETAPA   (B);FUNCIONAL;19/7/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
324;2016-AA-00005;ESTACION DESERVICIO  PETROSUN COXEN HOLE;REPOSICION AUDITORIA;22/7/2019;ROATAN;ISLAS DE LA BAHIA;PETROLEO GAS E HIDROCARBUROS 
325;2012-LA-00267;ELECTRIFICACION RURAL  EN LA MANCOMUNIDAD DE MANOFM;RENOVACION LICENCIA;22/7/2019;VALLE DE ANGELES  VILLA DE SAN FRANCISCO  VALLECILLO  EL PORVENIR  MARALE Y GUAIMACA;FRANCISCO MORAZAN;ENERGIA
326;SLAS-0000204-2018;RESTAURACION CASA EXPRESIDENTE SANTOS GUARDIOLA;FUNCIONAL;22/7/2019;COMAYAGUA;COMAYAGUA;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
327;S/N-  96;HOTEL FLORENCIA;AUDITORIA;22/7/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
328;2009-A-50;LAS TEJITAS;RENOVACION LICENCIA;22/7/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
329;SLAS-0000163-2018;OLOMAN;FUNCIONAL;22/7/2019;SANTA RITA  EL NEGRITO   Y VICTORIA;YORO;AGROPECUARIO
330;2015-LA-00028;CENTRO DE MEDITACION VIRGEN DE SUYAPA  EL PILIGUIN;LICENCIA;22/7/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
331;SLAS-0000310-2018;RECICLAJES INDUSTRIALES DE CENTROAMERICA  S. A. DE C. V.;FUNCIONAL;23/7/2019;CHOLOMA;CORTES;INDUSTRIAL
332;SLAS-0000264-2016;RESIDENCIAL RUBEN ANTUNEZ;FUNCIONAL;23/7/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
333;2015-LA-00295;ESTACION DE SERVICIO BUENOS AIRES;AUDITORIA;23/7/2019;LA LABOR;OCOTEPEQUE;PETROLEO GAS E HIDROCARBUROS 
334;2007-A-701;HOSPITAL DEL CARIBE;RENOVACION LICENCIA;23/7/2019;PUERTO CORTES;CORTES;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
335;SLAS-0000623-2017;AIRE RIO DE HONDURAS;FUNCIONAL;23/7/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;SERVICIOS
336;2015-LA-00347;CLORO DEL NORTE (NORCLORO);AUDITORIA;24/7/2019;MUNICIPIO DE SAN MANUEL ;CORTES;INDUSTRIA
337;2013-LA-00111;JARDIN MEMORIAL APAKUNKA;RENOVACION DE LICENCIA;24/7/2019;SABANA GRANDE;FRANCISCO MORAZAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
338;SLAS-0000608-2017;PLANTA DE BENEFICIADO DE MATERIALES ROCAMARILLA;FUNCIONAL;25/7/2019;CHOLUTECA;CHOLUTECA;MINERO
339;113-A-2000;CONCESION MINERA NO METALICA DENOMINADA BUENA VISTA;REPOSICION LICENCIA;26/7/2019;TELA;ATLANTIDA;MINERO
340;2003-A-268;ESTACION DE SERVICIO PUMA LAS LOMAS;RENOVACION DE LICENCIA;29/7/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;PETROLEO GAS E HIDROCARBUROS 
341;SLAS-0000577-2017;DISTRIBUIDORA MARISCOS Y MAS  S. A. DE C. V.;FUNCIONAL;29/7/2019;SANTA ANA ;MORAZA;AGROPECUARIO
342;SLAS-000255-2018;PLANTA CARNICA FINCA 8;FUNCIONAL;29/7/2019;LA PAZ;LA PAZ;AGROPECUARIO
343;SLAS-000248-2018;CONSTRUCCION DE COLECTOR Y OBRAS COMPLEMENTARIAS EN LA COLONIA CEDEN;FUNCIONAL;29/7/2019;CHOLOMA;CORTES;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
344;2012-LA-00203;URBANIZACION VILLA IRIS;RENOVACION LICENCIA;30/7/2019;COMAYAGUA;COMAYAGUA;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
345;SLAS-0000132-2018;ESTACION DE SERVICIOS BETANCOURTH;FUNCIONAL;30/7/2019;COMAYAGUA;COMAYAGUA;PETROLEO GAS E HIDROCARBUROS 
346;SLAS-000082-2018;CONSTRUCCION Y PAVIMENTACION DE BULEVAR A CUATRO CARRILES EN CALLE 8  ETAPA1: INTERSECCION AVENIDA LA REPUBLICA - INTERSECCION CON BULEVAR LA AMISTAD  CON UMA LONGITUD APROXIMADA DE 1.9 KM.;FUNCIONAL;30/7/2019;LA CEIBA;ATLANTIDA;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
347;SLAS-0000236-2018;ESTACION DE SERVICIO AMERICAN CHANCUACO;FUNCIONAL;30/7/2019;TEUPASENTI;EL PARAISO;PETROLEO GAS E HIDROCARBUROS 
348;2009-A-431;MAS ACME MC CRARY HONDURAS  S. DE R. L.;RENOVACION DE LICENCIA;31/7/2019;CHOLOMA;CORTES;INDUSTRIAL
349;SLAS-0000339-2018;CELSIA SOLAR COMAYAGUA;FUNCIONAL;31/7/2019;COMAYAGUA;COMAYAGUA;ENERGIA
350;2005-A-483;ACONDICIONAMIENTO DE TERRENO PARA UN APROVECHAMIENTO SILVO PASTORIL EN PEQUEÑA ESCALA;RENOVACION LICENCIA;7/8/2019;VILLANUEVA;CORTES;AGROPECUARIO
351;2008-A-2114;VESTA TRADING  S. A. DE C. V. ZONA LIBRE (DISTRIBUIDORES DE MATERIA PRIMA);RENOVACION LICENCIA;7/8/2019;CHOLOMA;CORTES;INDUSTRIAL 
352;SLAS-0000180-2018;REPARACION ESCUELA AGRICOLA F. KENNEDY;FUNCIONAL;8/8/2019;SAN FRANCISCO;ATLANTIDA;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
353;2015-LA-00295;ESTACION DE SERVICIO BUENOS AIRES;AUDITORIA;8/8/2019;LA LABOR;OCOTEPEQUE;PETROLEO GAS E HIDROCARBUROS 
354;SLAS-0000110-2019;CONSTRUCCION DE ESTACIONAMIENTO CELL ANEXO 2;FUNCIONAL;8/8/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
355;268-A-2001;ESTACION DE SERVICIOS UNO CEIBA;REPOSICION;8/8/2019;LA CEIBA;ATLANTIDA;PETROLEO GAS E HIDROCARBUROS 
356;SLAS-0000185-2018;RECICLADORA AIRE VERDE  S. DE .R. L. DE C. V.;FUNCIONAL;8/8/2019;VILLANUEVA;CORTES;INDUSTRIAL
357;SLAS-0000054-2018;RESIDENCIAL VILLA CASA;FUNCIONAL;8/8/2019;SAN MATIAS;EL PARAISO;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
358;27-AA-2003;PRODUCTOS TEXTILES  S. A. DE C. ;RENOVACION LICENCIA;12/8/2019;CHOLOMA;CORTES;INDUSTRIAL
359;2008-A-773;GASOLINERA ALEX Y JORGE CUSTOM. COM;RENOVACION LICENCIA;12/8/2019;TRUJILLO;COLON;PETROLEO GAS E HIDROCARBUROS 
360;SLAS-0000044-2018;PRADOS DE COMAYAGUA;FUNCIONAL;13/8/2019;COMAYAGUA;COMAYAGUA;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
361;SLAS-0000059-2018;INVERSIONES AVICOLAS DE HONDURAS;FUNCIONAL;13/8/2019;SAN FRANCISCO DE YOJOA;CORTES;AGROPECUARIO
362;SLAS-0000115-2018;CENTRO CIUDAD MUJER EN LA CEIBA;FUNCIONAL;13/8/2019;LA CEIBA;ATLANTIDA;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
363; 2011-A-428;BENEFICIO DE CAFÉ COOPERATIVA REGIONAL MIXTA DE AGRICULTORES ORGANICOS DE LA SIERRA (RAOS)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;RENOVACION LICENCIA;13/8/2019;MARCALA;LA PAZ;AGROPECUARIO
364;2011-A-222;HANES INK HONDURAS  S. A. DE C. V.;RENOVACION LICENCIA;13/8/2019;CHOLOMA;CORTES;INDUSTRIAL
365;SLAS-0000209-2018;MAXI DESPENSA OLANCHITO;FUNCIONAL;14/8/2019;OLANCHITO;YORO;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
366;2012-LA-00116;JASPER HONDURAS  S. A. BODEGA CENTRAL;RENOVACION LICENCIA;14/8/2019;CHOLOMA;CORTES;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
